image,dp_pupil,r_pupil,dp_iris,r_iris,dp_eyelid,dist_eyelid,TP,FP,FN,precision,recall,f1
019/L/S1019L14.jpg,1.2,20,1.2,20,1.2,200,1,2,3,0.3333333333333333,0.25,0.28571428571428575
019/R/S1019R07.jpg,1.2,20,1.2,20,1.2,200,1,1,3,0.5,0.25,0.3333333333333333
019/R/S1019R12.jpg,1.2,20,1.2,20,1.2,200,1,1,3,0.5,0.25,0.3333333333333333
019/R/S1019R18.jpg,1.2,20,1.2,20,1.2,150,2,1,2,0.6666666666666666,0.5,0.5714285714285715
019/R/S1019R20.jpg,1.5,30,1.2,20,1.2,200,1,1,3,0.5,0.25,0.3333333333333333
019/R/S1019R21.jpg,1.2,20,1.2,20,1.5,150,2,2,2,0.5,0.5,0.5
019/R/S1019R22.jpg,1.5,20,1.2,20,1.5,150,2,3,2,0.4,0.5,0.4444444444444445
019/R/S1019R24.jpg,1.2,20,1.2,20,1.5,200,1,0,3,1.0,0.25,0.4
019/R/S1019R26.jpg,1.2,20,1.2,20,1.5,200,1,1,3,0.5,0.25,0.3333333333333333
020/L/S1020L01.jpg,1.2,30,1.2,20,1.2,150,1,2,3,0.3333333333333333,0.25,0.28571428571428575
020/R/S1020R01.jpg,1.2,20,1.2,20,1.5,200,1,0,3,1.0,0.25,0.4
020/R/S1020R03.jpg,1.2,20,1.2,30,1.5,200,1,0,3,1.0,0.25,0.4
020/R/S1020R04.jpg,1.2,20,1.2,20,1.5,200,1,0,3,1.0,0.25,0.4
020/R/S1020R05.jpg,1.2,20,1.2,20,1.5,200,1,1,3,0.5,0.25,0.3333333333333333
021/L/S1021L01.jpg,1.2,30,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
021/L/S1021L02.jpg,1.2,20,1.2,30,1.2,150,2,1,2,0.6666666666666666,0.5,0.5714285714285715
021/L/S1021L04.jpg,1.2,20,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
021/L/S1021L06.jpg,1.2,20,1.2,20,1.2,200,2,1,2,0.6666666666666666,0.5,0.5714285714285715
021/R/S1021R02.jpg,1.2,30,1.2,50,1.2,150,2,1,2,0.6666666666666666,0.5,0.5714285714285715
022/L/S1022L01.jpg,1.2,20,1.2,20,1.2,150,1,0,3,1.0,0.25,0.4
024/R/S1024R01.jpg,1.2,30,1.2,30,1.5,150,3,0,1,1.0,0.75,0.8571428571428571
024/R/S1024R02.jpg,1.2,50,1.2,20,1.2,150,2,0,2,1.0,0.5,0.6666666666666666
025/L/S1025L01.jpg,1.2,20,1.2,20,1.2,150,2,1,2,0.6666666666666666,0.5,0.5714285714285715
025/L/S1025L02.jpg,1.2,20,1.2,20,1.2,150,2,0,2,1.0,0.5,0.6666666666666666
025/L/S1025L03.jpg,1.2,20,1.2,20,1.5,150,2,1,2,0.6666666666666666,0.5,0.5714285714285715
025/L/S1025L04.jpg,1.2,20,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
025/L/S1025L05.jpg,1.2,20,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
026/R/S1026R01.jpg,1.2,20,1.2,20,1.2,150,1,0,3,1.0,0.25,0.4
026/R/S1026R02.jpg,1.2,20,1.2,20,1.2,200,1,0,3,1.0,0.25,0.4
028/L/S1028L01.jpg,1.2,20,1.5,20,1.2,200,1,1,3,0.5,0.25,0.3333333333333333
028/L/S1028L02.jpg,1.2,20,1.2,20,1.2,200,2,1,2,0.6666666666666666,0.5,0.5714285714285715
028/L/S1028L03.jpg,1.2,20,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
028/L/S1028L05.jpg,1.2,50,1.2,20,1.2,150,2,1,2,0.6666666666666666,0.5,0.5714285714285715
028/L/S1028L06.jpg,1.2,50,1.2,30,1.2,200,2,1,2,0.6666666666666666,0.5,0.5714285714285715
028/L/S1028L07.jpg,1.2,20,1.2,20,1.2,150,2,1,2,0.6666666666666666,0.5,0.5714285714285715
028/L/S1028L08.jpg,1.2,20,1.2,20,1.2,200,1,0,3,1.0,0.25,0.4
028/L/S1028L10.jpg,1.2,20,1.2,50,1.2,150,2,1,2,0.6666666666666666,0.5,0.5714285714285715
028/L/S1028L11.jpg,1.2,20,1.2,20,1.2,200,2,1,2,0.6666666666666666,0.5,0.5714285714285715
028/L/S1028L12.jpg,1.2,20,1.2,20,1.2,150,2,1,2,0.6666666666666666,0.5,0.5714285714285715
028/R/S1028R01.jpg,1.2,20,1.2,20,1.2,200,2,1,2,0.6666666666666666,0.5,0.5714285714285715
028/R/S1028R03.jpg,1.2,20,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
028/R/S1028R04.jpg,1.2,20,1.2,20,1.5,200,1,0,3,1.0,0.25,0.4
028/R/S1028R05.jpg,1.2,20,1.2,20,1.5,200,2,0,2,1.0,0.5,0.6666666666666666
